Category,Subcategory,Sentence1,Sentence2,Similarity
Capitalization,All lowercase,Ritesh visited New York last summer and enjoyed the museums.,ritesh visited new york last summer and enjoyed the museums.,0.9999998807907104
Capitalization,All uppercase,Ritesh visited New York last summer and enjoyed the museums.,RITESH VISITED NEW YORK LAST SUMMER AND ENJOYED THE MUSEUMS.,0.9999998807907104
Capitalization,Title case,Ritesh visited New York last summer and enjoyed the museums.,Ritesh Visited New York Last Summer And Enjoyed The Museums.,0.9999998807907104
Capitalization,Random case,Ritesh visited New York last summer and enjoyed the museums.,Ritesh vIsiTed nEw yOrK lAsT sUmMeR aNd eNjOyEd tHe mUsEuMs.,0.9999998807907104
Capitalization,Proper noun lowercase,Ritesh visited New York last summer and enjoyed the museums.,Ritesh visited new york last summer and enjoyed the museums.,0.9999998807907104
Capitalization,Proper noun lowercase,Ritesh visited New York last summer and enjoyed the museums.,Ritesh visited New York last summer and enjoyed the museums.,0.9999998807907104
Whitespace,Extra spaces,Ritesh visited New York last summer and enjoyed the museums.,Ritesh  visited  New  York  last  summer  and  enjoyed  the  museums.,0.9999998807907104
Whitespace,Leading spaces,Ritesh visited New York last summer and enjoyed the museums.,   Ritesh visited New York last summer and enjoyed the museums.,0.9999998807907104
Whitespace,Trailing spaces,Ritesh visited New York last summer and enjoyed the museums.,Ritesh visited New York last summer and enjoyed the museums.   ,0.9999998807907104
Whitespace,No spaces,Ritesh visited New York last summer and enjoyed the museums.,RiteshvisitedNewYorklastsummerandenjovedthemuseums.,0.8777230381965637
Whitespace,Newlines,Ritesh visited New York last summer and enjoyed the museums.,"Ritesh visited New York
last summer and
enjoyed the museums.",0.9999998807907104
Whitespace,Tabs,Ritesh visited New York last summer and enjoyed the museums.,Ritesh visited	New York	last summer	and enjoyed	the museums.,0.9999998807907104
Negation,Simple negation,The movie was good and I enjoyed it.,The movie was not good and I enjoyed it.,0.9817124605178833
Negation,Contraction negation,The movie was good and I enjoyed it.,The movie wasn't good and I enjoyed it.,0.9730213284492493
Negation,Double negation,The movie was good and I enjoyed it.,The movie wasn't bad and I enjoyed it.,0.9594935774803162
Negation,Multiple negations,The movie was good and I enjoyed it.,The movie was not good and I didn't enjoy it.,0.9535202980041504
Negation,Partial negation,The movie was good and I enjoyed it.,The movie was good but I didn't enjoy it.,0.9707905054092407
Special Characters,Punctuation removed,Ritesh visited New York last summer and enjoyed the museums.,Ritesh visited New York last summer and enjoyed the museums,0.9940690398216248
Special Characters,Extra punctuation,Ritesh visited New York last summer and enjoyed the museums.,"Ritesh visited New York, last summer, and enjoyed the museums!!!",0.9953168630599976
Special Characters,Symbols added,Ritesh visited New York last summer and enjoyed the museums.,Ritesh visited New York (last summer) and enjoyed the museums #vacation,0.9876018762588501
Special Characters,Emojis,Ritesh visited New York last summer and enjoyed the museums.,Ritesh visited New York last summer and enjoyed the museums 🗽🏙️,0.9943207502365112
Special Characters,ASCII art,Ritesh visited New York last summer and enjoyed the museums.,Ritesh visited New York last summer and enjoyed the museums ¯\_(ツ)_/¯,0.9760066866874695
Word Order,Reversed sentence,Ritesh visited New York last summer and enjoyed the museums.,The museums enjoyed and summer last York New visited Ritesh.,0.9852955341339111
Word Order,Shuffled words,Ritesh visited New York last summer and enjoyed the museums.,York visited summer Ritesh enjoyed last museums the New and.,0.9797608852386475
Word Order,Slight reordering,Ritesh visited New York last summer and enjoyed the museums.,"Last summer, Ritesh visited New York and enjoyed the museums.",0.9967924952507019
