Category,Subcategory,Sentence1,Sentence2,Similarity
Capitalization,All lowercase,Ritesh visited New York last summer and enjoyed the museums.,ritesh visited new york last summer and enjoyed the museums.,0.9714639782905579
Capitalization,All uppercase,Ritesh visited New York last summer and enjoyed the museums.,RITESH VISITED NEW YORK LAST SUMMER AND ENJOYED THE MUSEUMS.,0.9611167907714844
Capitalization,Title case,Ritesh visited New York last summer and enjoyed the museums.,Ritesh Visited New York Last Summer And Enjoyed The Museums.,0.9837836027145386
Capitalization,Random case,Ritesh visited New York last summer and enjoyed the museums.,Ritesh vIsiTed nEw yOrK lAsT sUmMeR aNd eNjOyEd tHe mUsEuMs.,0.9056189060211182
Capitalization,Proper noun lowercase,Ritesh visited New York last summer and enjoyed the museums.,Ritesh visited new york last summer and enjoyed the museums.,0.9978338479995728
Capitalization,Proper noun lowercase,Ritesh visited New York last summer and enjoyed the museums.,Ritesh visited New York last summer and enjoyed the museums.,1.0000004768371582
Whitespace,Extra spaces,Ritesh visited New York last summer and enjoyed the museums.,Ritesh  visited  New  York  last  summer  and  enjoyed  the  museums.,0.984711766242981
Whitespace,Leading spaces,Ritesh visited New York last summer and enjoyed the museums.,   Ritesh visited New York last summer and enjoyed the museums.,0.991142213344574
Whitespace,Trailing spaces,Ritesh visited New York last summer and enjoyed the museums.,Ritesh visited New York last summer and enjoyed the museums.   ,0.9907605648040771
Whitespace,No spaces,Ritesh visited New York last summer and enjoyed the museums.,RiteshvisitedNewYorklastsummerandenjovedthemuseums.,0.9719371795654297
Whitespace,Newlines,Ritesh visited New York last summer and enjoyed the museums.,"Ritesh visited New York
last summer and
enjoyed the museums.",0.9870460629463196
Whitespace,Tabs,Ritesh visited New York last summer and enjoyed the museums.,Ritesh visited	New York	last summer	and enjoyed	the museums.,0.987524688243866
Negation,Simple negation,The movie was good and I enjoyed it.,The movie was not good and I enjoyed it.,0.9241801500320435
Negation,Contraction negation,The movie was good and I enjoyed it.,The movie wasn't good and I enjoyed it.,0.9288167953491211
Negation,Double negation,The movie was good and I enjoyed it.,The movie wasn't bad and I enjoyed it.,0.9491094350814819
Negation,Multiple negations,The movie was good and I enjoyed it.,The movie was not good and I didn't enjoy it.,0.9183157682418823
Negation,Partial negation,The movie was good and I enjoyed it.,The movie was good but I didn't enjoy it.,0.944789469242096
Special Characters,Punctuation removed,Ritesh visited New York last summer and enjoyed the museums.,Ritesh visited New York last summer and enjoyed the museums,0.9900951385498047
Special Characters,Extra punctuation,Ritesh visited New York last summer and enjoyed the museums.,"Ritesh visited New York, last summer, and enjoyed the museums!!!",0.9842211008071899
Special Characters,Symbols added,Ritesh visited New York last summer and enjoyed the museums.,Ritesh visited New York (last summer) and enjoyed the museums #vacation,0.982587456703186
Special Characters,Emojis,Ritesh visited New York last summer and enjoyed the museums.,Ritesh visited New York last summer and enjoyed the museums 🗽🏙️,0.9854493141174316
Special Characters,ASCII art,Ritesh visited New York last summer and enjoyed the museums.,Ritesh visited New York last summer and enjoyed the museums ¯\_(ツ)_/¯,0.984475314617157
Word Order,Reversed sentence,Ritesh visited New York last summer and enjoyed the museums.,The museums enjoyed and summer last York New visited Ritesh.,0.9454734325408936
Word Order,Shuffled words,Ritesh visited New York last summer and enjoyed the museums.,York visited summer Ritesh enjoyed last museums the New and.,0.9420674443244934
Word Order,Slight reordering,Ritesh visited New York last summer and enjoyed the museums.,"Last summer, Ritesh visited New York and enjoyed the museums.",0.9906903505325317
Word Order,Active to passive,Ritesh visited New York last summer and enjoyed the museums.,The museums in New York were enjoyed by Ritesh last summer.,0.974511444568634
Word Order,Clauses reordered,Ritesh visited New York last summer and enjoyed the museums.,Ritesh enjoyed the museums and visited New York last summer.,0.991436243057251
Synonyms & Paraphrasing,Synonyms,Ritesh visited New York last summer and enjoyed the museums.,Ritesh traveled to New York last summer and liked the galleries.,0.9702048301696777
Synonyms & Paraphrasing,Light paraphrase,Ritesh visited New York last summer and enjoyed the museums.,Ritesh went to NYC last summer and had fun at the museums.,0.9843564033508301
Synonyms & Paraphrasing,Moderate paraphrase,Ritesh visited New York last summer and enjoyed the museums.,"Last year during the summer months, Ritesh took a trip to New York where he found the museums enjoyable.",0.9787502884864807
Synonyms & Paraphrasing,Heavy paraphrase,Ritesh visited New York last summer and enjoyed the museums.,"During his vacation to the Big Apple in the previous year's warm season, Ritesh expressed appreciation for the cultural institutions he visited.",0.943048357963562
Synonyms & Paraphrasing,"Same meaning, different words",Ritesh visited New York last summer and enjoyed the museums.,Ritesh had a good time at the exhibits when he was in New York during the previous summer.,0.9653374552726746
Spelling & Typos,Minor typo,Ritesh visited New York last summer and enjoyed the museums.,Ritesh viseted New York last summer and enjoyed the museums.,0.9952647686004639
Spelling & Typos,Multiple typos,Ritesh visited New York last summer and enjoyed the museums.,Jhon visted Nwe Yrok last summre and enoyded the meusums.,0.8864966034889221
Spelling & Typos,Phonetic spelling,Ritesh visited New York last summer and enjoyed the museums.,Jon vizited New Yirk last sumer and enjoyd the muzeums.,0.9105848073959351
Spelling & Typos,Character swaps,Ritesh visited New York last summer and enjoyed the museums.,Ritesh vistied New Yrok alst summer and enjyoed the mueseums.,0.9703205823898315
Spelling & Typos,Missing letters,Ritesh visited New York last summer and enjoyed the museums.,Jhn vstd Nw Yrk lst smmr and enjyd the msms.,0.799653172492981
Named Entities,Person name change,Ritesh visited New York last summer and enjoyed the museums.,Mike visited New York last summer and enjoyed the museums.,0.9332637190818787
Named Entities,Location change,Ritesh visited New York last summer and enjoyed the museums.,Ritesh visited Chicago last summer and enjoyed the museums.,0.9679878950119019
Named Entities,Time change,Ritesh visited New York last summer and enjoyed the museums.,Ritesh visited New York last winter and enjoyed the museums.,0.9820636510848999
Named Entities,Entity abbreviation,Ritesh visited New York last summer and enjoyed the museums.,Ritesh visited NYC last summer and enjoyed the museums.,0.9954462051391602
Named Entities,Entity expansion,Ritesh visited New York last summer and enjoyed the museums.,"Ritesh visited New York City, United States of America last summer and enjoyed the museums.",0.9919478893280029
Grammar,Tense change,Ritesh visited New York last summer and enjoyed the museums.,Ritesh visits New York last summer and enjoys the museums.,0.9954588413238525
Grammar,Plurality,Ritesh visited New York last summer and enjoyed the museums.,Ritesh visited New York last summer and enjoyed a museum.,0.9941459894180298
Grammar,Voice change,Ritesh visited New York last summer and enjoyed the museums.,New York was visited by Ritesh last summer and the museums were enjoyed.,0.9804185628890991
Grammar,Article change,Ritesh visited New York last summer and enjoyed the museums.,Ritesh visited a New York last summer and enjoyed some museums.,0.9950069189071655
Grammar,Pronoun substitution,Ritesh visited New York last summer and enjoyed the museums.,He visited New York last summer and enjoyed the museums.,0.9514511227607727
Verbosity,Added fillers,Ritesh visited New York last summer and enjoyed the museums.,"Well, Ritesh basically just visited New York last summer and, you know, enjoyed the museums and stuff.",0.9701202511787415
Verbosity,Very verbose,Ritesh visited New York last summer and enjoyed the museums.,"If I may say so, our friend Ritesh, whom we all know well, took an exciting journey to the magnificent city of New York during the pleasant summer months of last year, where he subsequently proceeded to experience considerable enjoyment while exploring the numerous fascinating museums available in that location.",0.9494088888168335
Verbosity,Very concise,Ritesh visited New York last summer and enjoyed the museums.,"Ritesh: NYC trip, summer. Enjoyed museums.",0.9568490386009216
Verbosity,Repetition,Ritesh visited New York last summer and enjoyed the museums.,"Ritesh visited, visited New York last summer, last summer and enjoyed, really enjoyed the museums.",0.9886754155158997
